event_id,state_event,Datetime Event Began,Datetime Restoration,Event Type,fips,state,county,start_time,duration,end_time,min_customers,max_customers,mean_customers
New Hampshire-1,New Hampshire,2014-11-26 17:50:00,2014-11-28 07:00:00,Severe Weather - Winter Storm,33013,New Hampshire,Merrimack,2014-11-26 19:45:00,97.0,2014-11-30 20:45:00,344,61747,23250.703608247422
Maine-1,Maine,2014-11-26 17:50:00,2014-11-28 07:00:00,Severe Weather - Winter Storm,23023,Maine,Sagadahoc,2014-11-26 18:45:00,72.75,2014-11-29 19:30:00,233,12811,4003.996563573883
Maine-1,Maine,2014-11-26 17:50:00,2014-11-28 07:00:00,Severe Weather - Winter Storm,23005,Maine,Cumberland,2014-11-26 20:30:00,70.5,2014-11-29 19:00:00,243,28238,9263.070921985816
Maine-1,Maine,2014-11-26 17:50:00,2014-11-28 07:00:00,Severe Weather - Winter Storm,23031,Maine,York,2014-11-26 20:45:00,70.5,2014-11-29 19:15:00,291,42304,14284.017730496455
Massachusetts-1,Massachusetts,2014-11-26 17:50:00,2014-11-28 07:00:00,Severe Weather - Winter Storm,25011,Massachusetts,Franklin,2014-11-26 18:45:00,70.5,2014-11-29 17:15:00,233,14345,5074.652482269504
Maine-1,Maine,2014-11-26 17:50:00,2014-11-28 07:00:00,Severe Weather - Winter Storm,23015,Maine,Lincoln,2014-11-26 22:15:00,66.5,2014-11-29 16:45:00,219,10979,4868.533834586467
Massachusetts-1,Massachusetts,2014-11-26 17:50:00,2014-11-28 07:00:00,Severe Weather - Winter Storm,25027,Massachusetts,Worcester,2014-11-26 18:00:00,55.75,2014-11-29 01:45:00,318,8058,2766.6860986547085
Massachusetts-1,Massachusetts,2014-11-26 17:50:00,2014-11-28 07:00:00,Severe Weather - Winter Storm,25003,Massachusetts,Berkshire,2014-11-26 18:15:00,55.5,2014-11-29 01:45:00,222,15335,4168.923423423424
Maine-0,Maine,2014-11-02 13:46:00,2014-11-02 13:46:00,Severe Weather - Winter Storm,23013,Maine,Knox,2014-11-02 14:00:00,51.75,2014-11-04 17:45:00,309,20497,16330.565217391304
New Hampshire-1,New Hampshire,2014-11-26 17:50:00,2014-11-28 07:00:00,Severe Weather - Winter Storm,33005,New Hampshire,Cheshire,2014-11-26 18:15:00,51.5,2014-11-28 21:45:00,449,8691,5469.5291262135925
Washington-6,Washington,2015-08-29 11:00:00,2015-09-04 15:00:00,Severe Weather,53073,Washington,Whatcom,2015-08-29 17:00:00,114.0,2015-09-03 11:00:00,345,54372,14483.320175438597
Washington-6,Washington,2015-08-29 11:00:00,2015-09-04 15:00:00,Severe Weather,53057,Washington,Skagit,2015-08-29 14:00:00,109.75,2015-09-03 03:45:00,311,22502,7223.282460136675
Washington-10,Washington,2015-08-29 13:00:00,2015-08-31 07:00:00,Severe Weather,53057,Washington,Skagit,2015-08-29 14:00:00,109.75,2015-09-03 03:45:00,311,22502,7223.282460136675
