name,power,amenity,man_made,telecom,aeroway,generator:source,addr:street,addr:city,operator,voltage,lat,lon,city_source
Cornerstone Hospital Houston – Bellaire,,hospital,,,,,Dashwood Drive,Houston,Cornerstone Healthcare Group,,29.70801,-95.47327,Houston
Plaza Specialty Hospital,,hospital,,,,,Binz Street,Houston,HCA,,29.7240827,-95.387804,Houston
Houston Fire Department Station 9,,fire_station,,,,,,,,,29.776231,-95.3604454,Houston
Heights Fire Department,,fire_station,,,,,,,,,29.7923813,-95.3986973,Houston
Houston Fire Department Station 70,,fire_station,,,,,,,,,29.6019414,-95.2291175,Houston
Houston Fire Department Station 75,,fire_station,,,,,,,,,29.7447398,-95.6055496,Houston
Houston Fire Department Station 34,,fire_station,,,,,,,,,29.8401944,-95.3388471,Houston
Houston Fire Department Station 35,,fire_station,,,,,,,,,29.6741004,-95.3380004,Houston
Houston Fire Department Station 38,,fire_station,,,,,,,,,29.7901872,-95.4677444,Houston
Houston Fire Department Station 40,,fire_station,,,,,,,,,29.7101583,-95.3208582,Houston
Houston Fire Department Station 25,,fire_station,,,,,,,,,29.7186504,-95.3533667,Houston
Houston Fire Department Station 29,,fire_station,,,,,,,,,29.6840001,-95.2537059,Houston
Houston Fire Department Station 32,,fire_station,,,,,,,,,29.8496523,-95.2654428,Houston
Houston Fire Department Station 17,,fire_station,,,,,,,,,29.7569907,-95.341345,Houston
Houston Fire Department Station 16,,fire_station,,,,,,,,,29.7346299,-95.4023308,Houston
Houston Fire Department Station 19,,fire_station,,,,,,,,,29.7772172,-95.3361182,Houston
Houston Fire Department Station 20,,fire_station,,,,,,,,,29.7440258,-95.3006886,Houston
Houston Fire Department Station 6,,fire_station,,,,,Washington Avenue,Houston,,,29.7695805,-95.3942605,Houston
Houston Fire Department Station 10,,fire_station,,,,,,,,,29.7065882,-95.5519251,Houston
Houston Fire Department Station 12,,fire_station,,,,,,,,,29.7946413,-95.3528703,Houston
Houston Fire Department Station 15,,fire_station,,,,,,,,,29.8029134,-95.3867388,Houston
Houston Fire Department Station 3,,fire_station,,,,,,,,,29.7378928,-95.4382826,Houston
Houston Fire Department Station 51,,fire_station,,,,,,,,,29.7052476,-95.5048712,Houston
Houston Fire Department Station 52,,fire_station,,,,,,,,,29.6350864,-95.229704,Houston
Houston Fire Department Station 53,,fire_station,,,,,,,,,29.7760066,-95.1869272,Houston
Houston Fire Department Station 55,,fire_station,,,,,,,,,29.6375591,-95.35617,Houston
Houston Fire Department Station 56,,fire_station,,,,,,,,,29.870885,-95.3058616,Houston
Houston Fire Department Station 41,,fire_station,,,,,,,,,29.7739036,-95.2819016,Houston
Houston Fire Department Station 42,,fire_station,,,,,,,,,29.743591,-95.2726953,Houston
Houston Fire Department Station 43,,fire_station,,,,,,,,,29.8282469,-95.2840392,Houston
Houston Fire Department Station 44,,fire_station,,,,,,,,,29.7781007,-95.2180868,Houston
Houston Fire Department Station 45,,fire_station,,,,,,,,,29.8052501,-95.2638103,Houston
Houston Fire Department Station 46,,fire_station,,,,,,,,,29.6859295,-95.3643446,Houston
Houston Fire Department Station 47,,fire_station,,,,,,,,,29.6317186,-95.4136631,Houston
Houston Fire Department Station 48,,fire_station,,,,,,,,,29.653346,-95.4810438,Houston
Houston Fire Department Station 66,,fire_station,,,,,,,,,29.8519736,-95.53989,Houston
Houston Fire Department Station 65,,fire_station,,,,,,,,,30.0205762,-95.1030934,Houston
Houston Fire Department Station 67,,fire_station,,,,,,,,,29.8637512,-95.436052,Houston
Houston Fire Department Station 71,,fire_station,,,,,,,,,29.5819627,-95.1279285,Houston
Houston Fire Department Station 69,,fire_station,,,,,,,,,29.7509617,-95.5587163,Houston
Houston Fire Department Station 73,,fire_station,,,,,,,,,29.672776,-95.5708276,Houston
Houston Fire Department Station 57,,fire_station,,,,,,,,,29.7730364,-95.5802762,Houston
Houston Fire Department Station 60,,fire_station,,,,,,,,,29.7331826,-95.5248414,Houston
Houston Fire Department Station 59,,fire_station,,,,,,,,,29.625218,-95.4647593,Houston
Houston Fire Department Station 62,,fire_station,,,,,,,,,29.797952,-95.4377415,Houston
Houston Fire Department Station 61,,fire_station,,,,,,,,,29.6253833,-95.2670824,Houston
Houston Fire Department Station 64,,fire_station,,,,,,,,,29.9508972,-95.3420667,Houston
Houston Fire Department Station 63,,fire_station,,,,,,,,,29.9843898,-95.3094668,Houston
Houston Fire Department Station 93,,fire_station,,,,,,,,,29.5898977,-95.1805305,Houston
Houston Fire Department Station 92,,fire_station,,,,,,,,,29.9810448,-95.3260887,Houston
Houston Fire Department Station 86,,fire_station,,,,,,,,,29.7562869,-95.6378446,Houston
Houston Fire Department Station 90,,fire_station,,,,,,,,,29.7889282,-95.6694929,Houston
Houston Fire Department Station 101,,fire_station,,,,,,,,,30.0516145,-95.2276997,Houston
Houston Fire Department Station 99,,fire_station,,,,,,,,,29.9755041,-95.3569762,Houston
Houston Fire Department Station 77,,fire_station,,,,,,,,,29.8223466,-95.5438158,Houston
Houston Fire Department Station 74,,fire_station,,,,,,,,,29.931589,-95.3915413,Houston
Houston Fire Department Station 82,,fire_station,,,,,,,,,29.6579157,-95.511336,Houston
