NAME,total_pop,median_income,ZCTA5CE20
ZCTA5 00601,16834,17526.0,00601
ZCTA5 00602,37642,20260.0,00602
ZCTA5 00603,49075,17703.0,00603
ZCTA5 00606,5590,19603.0,00606
ZCTA5 00610,25542,22796.0,00610
ZCTA5 00611,1315,22525.0,00611
ZCTA5 00612,63312,22305.0,00612
ZCTA5 00616,9625,23652.0,00616
ZCTA5 00617,22573,20328.0,00617
ZCTA5 00622,7577,22818.0,00622
ZCTA5 00623,39406,23132.0,00623
ZCTA5 00624,21648,20101.0,00624
ZCTA5 00627,32733,23263.0,00627
ZCTA5 00631,1431,15658.0,00631
ZCTA5 00636,1057,,00636
ZCTA5 00637,22882,20568.0,00637
ZCTA5 00638,17605,19796.0,00638
ZCTA5 00641,24299,17673.0,00641
ZCTA5 00646,35926,31330.0,00646
ZCTA5 00647,4702,17143.0,00647
ZCTA5 00650,13767,20363.0,00650
ZCTA5 00652,3924,26148.0,00652
ZCTA5 00653,8980,13777.0,00653
ZCTA5 00656,18121,21456.0,00656
ZCTA5 00659,37066,23899.0,00659
ZCTA5 00660,15483,22556.0,00660
ZCTA5 00662,40480,20283.0,00662
ZCTA5 00664,14967,17966.0,00664
ZCTA5 00667,23370,16889.0,00667
ZCTA5 00669,27529,18838.0,00669
ZCTA5 00670,8746,16644.0,00670
ZCTA5 00674,39385,20088.0,00674
ZCTA5 00676,36683,20160.0,00676
ZCTA5 00677,15304,26404.0,00677
ZCTA5 00678,25039,19558.0,00678
ZCTA5 00680,43173,16535.0,00680
ZCTA5 00682,30414,17385.0,00682
ZCTA5 00683,29547,18132.0,00683
ZCTA5 00685,40346,17481.0,00685
ZCTA5 00687,28659,22282.0,00687
ZCTA5 00688,11478,17273.0,00688
ZCTA5 00690,5781,23343.0,00690
ZCTA5 00692,33302,25289.0,00692
ZCTA5 00693,55570,23791.0,00693
ZCTA5 00694,98,,00694
ZCTA5 00698,33506,19818.0,00698
ZCTA5 00703,24475,23045.0,00703
ZCTA5 00704,6831,19845.0,00704
ZCTA5 00705,24401,22679.0,00705
ZCTA5 00707,10487,21765.0,00707
ZCTA5 00714,15797,18496.0,00714
ZCTA5 00715,2040,16250.0,00715
ZCTA5 00716,27166,20184.0,00716
ZCTA5 00717,15029,14164.0,00717
ZCTA5 00718,23289,20414.0,00718
ZCTA5 00719,29523,20533.0,00719
