system:index,base_valid_px,cloud_frac,cloudy_px,county,date,event_id,img_exists,.geo
0,11223.20392156866,1.0,11223.20392156866,Dallas,2015-05-29,Texas-6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,11225.623529411798,0.8758544003320133,9832.011764705909,Dallas,2015-05-30,Texas-6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,11225.623529411798,0.6973709307906883,7828.423529411757,Dallas,2015-04-19,Texas-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,11225.623529411798,6.235733793904264E-4,7.0,Dallas,2015-04-20,Texas-2,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,11225.623529411798,0.6973709307906883,7828.423529411757,Dallas,2015-04-19,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,11225.623529411798,6.235733793904264E-4,7.0,Dallas,2015-04-20,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,11214.623529411798,1.0,11214.623529411798,Dallas,2015-05-27,Texas-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,11225.623529411798,1.0,11225.623529411798,Dallas,2015-05-28,Texas-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,11214.623529411798,1.0,11214.623529411798,Dallas,2015-05-27,Texas-6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,11225.623529411798,1.0,11225.623529411798,Dallas,2015-05-28,Texas-6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11225.623529411798,0.35683104550024447,4005.6509803921563,Dallas,2015-04-25,Texas-4,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,11214.623529411798,1.0,11214.623529411798,Dallas,2015-05-27,Texas-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,11214.623529411798,1.0,11214.623529411798,Dallas,2015-05-27,Texas-6,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,21304.24313725487,0.8345884148642405,17780.274509803916,Harris,2017-08-28,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,21304.24313725487,1.0,21304.24313725487,Harris,2017-08-29,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,21304.24313725487,0.4053621279899689,8635.933333333325,Harris,2017-08-30,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,21304.24313725487,0.6718691038625838,14313.66274509803,Harris,2017-08-31,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,21304.24313725487,4.491418629300033E-5,0.9568627450980391,Harris,2017-09-01,Texas-3,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,21304.24313725487,0.8345884148642405,17780.274509803916,Harris,2017-08-28,Texas-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,21304.24313725487,1.0,21304.24313725487,Harris,2017-08-29,Texas-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,21304.24313725487,0.4053621279899689,8635.933333333325,Harris,2017-08-30,Texas-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,21304.24313725487,0.6718691038625838,14313.66274509803,Harris,2017-08-31,Texas-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,21304.24313725487,4.491418629300033E-5,0.9568627450980391,Harris,2017-09-01,Texas-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,21304.24313725487,0.8345884148642405,17780.274509803916,Harris,2017-08-28,Texas-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,21304.24313725487,1.0,21304.24313725487,Harris,2017-08-29,Texas-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,21304.24313725487,0.4053621279899689,8635.933333333325,Harris,2017-08-30,Texas-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,21304.24313725487,0.6718691038625838,14313.66274509803,Harris,2017-08-31,Texas-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,21304.24313725487,4.491418629300033E-5,0.9568627450980391,Harris,2017-09-01,Texas-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,21304.24313725487,0.8345884148642405,17780.274509803916,Harris,2017-08-28,Texas-12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,21304.24313725487,1.0,21304.24313725487,Harris,2017-08-29,Texas-12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,21304.24313725487,0.4053621279899689,8635.933333333325,Harris,2017-08-30,Texas-12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,21304.24313725487,0.6718691038625838,14313.66274509803,Harris,2017-08-31,Texas-12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,21304.24313725487,4.491418629300033E-5,0.9568627450980391,Harris,2017-09-01,Texas-12,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,21304.24313725487,0.0016511485698697253,35.17647058823529,Harris,2018-05-27,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,21304.24313725487,0.009992486077522634,212.88235294117644,Harris,2018-05-28,Texas-8,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
