system:index,base_valid_px,cloud_frac,cloudy_px,county,date,event_id,event_key,img_exists,snow_px,.geo
0,11213.623529411798,1.0,11213.623529411798,Dallas,2015-05-24,Texas-6,Dallas_201505290500_201505300645,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,11225.623529411798,0.17295864433400554,1941.5686274509792,Dallas,2015-05-25,Texas-6,Dallas_201505290500_201505300645,1,13.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,11225.623529411798,1.0,11225.623529411798,Dallas,2015-05-26,Texas-6,Dallas_201505290500_201505300645,1,19.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,11214.623529411798,1.0,11214.623529411798,Dallas,2015-05-27,Texas-6,Dallas_201505290500_201505300645,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,11225.623529411798,1.0,11225.623529411798,Dallas,2015-05-28,Texas-6,Dallas_201505290500_201505300645,1,6.650980392156863,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,11223.20392156866,1.0,11223.20392156866,Dallas,2015-05-29,Texas-6,Dallas_201505290500_201505300645,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,11225.623529411798,0.8758544003320133,9832.011764705909,Dallas,2015-05-30,Texas-6,Dallas_201505290500_201505300645,1,6.411764705882353,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,11225.623529411798,0.020660715296307336,231.9294117647059,Dallas,2015-05-31,Texas-6,Dallas_201505290500_201505300645,1,6.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,11225.623529411798,0.0,0.0,Dallas,2015-06-01,Texas-6,Dallas_201505290500_201505300645,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,11225.623529411798,2.672457340244684E-4,3.0,Dallas,2015-06-02,Texas-6,Dallas_201505290500_201505300645,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,11225.623529411798,0.0,0.0,Dallas,2015-06-03,Texas-6,Dallas_201505290500_201505300645,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,11225.623529411798,3.563276453659579E-4,4.0,Dallas,2015-06-04,Texas-6,Dallas_201505290500_201505300645,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,11225.623529411798,0.7050773894737984,7914.933333333317,Dallas,2015-04-14,Texas-2,Dallas_201504190045_201504200030,1,16.96078431372549,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,11225.623529411798,0.9809291348155165,11011.541176470619,Dallas,2015-04-15,Texas-2,Dallas_201504190045_201504200030,1,19.160784313725493,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,11225.623529411798,0.49606816897196454,5568.674509803913,Dallas,2015-04-16,Texas-2,Dallas_201504190045_201504200030,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,11225.623529411798,8.908191134148948E-4,10.0,Dallas,2015-04-17,Texas-2,Dallas_201504190045_201504200030,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,11225.623529411798,0.8541708150890074,9588.600000000015,Dallas,2015-04-18,Texas-2,Dallas_201504190045_201504200030,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,11225.623529411798,0.6973709307906883,7828.423529411757,Dallas,2015-04-19,Texas-2,Dallas_201504190045_201504200030,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,11225.623529411798,6.235733793904264E-4,7.0,Dallas,2015-04-20,Texas-2,Dallas_201504190045_201504200030,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,11225.623529411798,0.07775872705791419,872.8901960784314,Dallas,2015-04-21,Texas-2,Dallas_201504190045_201504200030,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,11225.623529411798,0.021239573049612624,238.42745098039217,Dallas,2015-04-22,Texas-2,Dallas_201504190045_201504200030,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,11225.623529411798,1.0,11225.623529411798,Dallas,2015-04-23,Texas-2,Dallas_201504190045_201504200030,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,11225.623529411798,0.9989310170639021,11213.623529411798,Dallas,2015-04-24,Texas-2,Dallas_201504190045_201504200030,1,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
