event_key,county,buf_change_pct,nonbuf_change_pct,diff,pre_snow,during_snow
Dallas_201504190045_201504200030,Dallas,35.3,42.1,-6.9,0.0,0.0
Dallas_201910210215_201910260645,Dallas,4.5,-4.3,8.8,0.0,0.0
Dallas_202008162100_202008181615,Dallas,5.7,4.9,0.8,0.0,0.0
Dallas_202102181530_202102211230,Dallas,-21.4,-20.2,-1.2,0.795,0.435
Dallas_202209042000_202209070545,Dallas,-7.1,-14.4,7.3,0.001,0.0
Dallas_202303030030_202303050145,Dallas,13.3,-3.7,17.0,0.0,0.0
Harris_201708281215_201709011700,Harris,49.6,40.5,9.1,0.005,0.0
Harris_201801152200_201801161500,Harris,-10.7,-11.7,1.0,0.001,0.0
Harris_201801162215_201801171415,Harris,21.8,24.1,-2.2,0.001,0.0
Harris_201801182015_201801190830,Harris,2.3,3.9,-1.6,0.001,0.015
Harris_201804161315_201804170015,Harris,-5.7,-4.1,-1.6,0.0,0.0
Harris_201805271415_201805290930,Harris,-6.5,-7.6,1.1,0.006,0.001
Harris_201805291815_201805300630,Harris,7.2,6.9,0.3,0.003,0.0
Harris_201811031330_201811041030,Harris,-2.5,-2.5,0.0,0.0,0.0
Harris_202005280515_202005300515,Harris,48.5,24.7,23.8,0.002,0.0
Harris_202007121330_202007141930,Harris,3.3,5.6,-2.3,0.0,0.0
Harris_202301252330_202301280415,Harris,-3.6,15.7,-19.3,0.0,0.002
