facility_type,n_events,mean_resilience_buf,mean_resilience_nobuf,mean_advantage,std_advantage,min_advantage,max_advantage
plant,5,0.8806,0.8346,0.046,0.0873,-0.0573,0.1642
aerodrome,5,0.8587,0.8314,0.0274,0.106,-0.0847,0.2011
substation,6,0.8446,0.8472,-0.0026,0.0585,-0.114,0.0438
public_building,2,0.6479,0.6619,-0.0141,0.0022,-0.0156,-0.0125
water_works,6,0.8235,0.8507,-0.0272,0.0857,-0.1835,0.0466
clinic,6,0.8089,0.8501,-0.0412,0.0878,-0.1585,0.0504
police,6,0.8075,0.8492,-0.0417,0.0858,-0.183,0.0251
fire_station,6,0.8058,0.8496,-0.0438,0.0725,-0.1558,0.0091
hospital,6,0.7989,0.8493,-0.0504,0.116,-0.2583,0.0446
government,6,0.7946,0.8481,-0.0535,0.1285,-0.2547,0.048
townhall,6,0.7657,0.8496,-0.0839,0.123,-0.2844,0.0508
