county,event_key,phase,event_id,min_ntl,mean_ntl,n_images,phase_start,phase_end,outage_start,outage_end
Dallas,Dallas_201504190045_201504200030,during,Texas-2,44.35657501220703,44.35657501220703,2,2015-04-20,2015-04-20,2015-04-19,2015-04-20
Dallas,Dallas_201504190045_201504200030,post,Texas-2,32.8319091796875,34.84235191345215,4,2015-04-21,2015-04-22,2015-04-19,2015-04-20
Dallas,Dallas_201504190045_201504200030,pre,Texas-2,31.39886474609375,31.39886474609375,2,2015-04-17,2015-04-17,2015-04-19,2015-04-20
Dallas,Dallas_201504250015_201504251530,post,Texas-4,31.947921752929688,35.82672627766927,3,2015-04-26,2015-04-30,2015-04-25,2015-04-25
Dallas,Dallas_201504250015_201504251530,pre,Texas-4,32.8319091796875,38.01375961303711,3,2015-04-20,2015-04-22,2015-04-25,2015-04-25
Dallas,Dallas_201505270015_201505271345,post,Texas-6,32.34883499145508,34.432098388671875,4,2015-05-31,2015-06-01,2015-05-27,2015-05-27
Dallas,Dallas_201505270015_201505271345,pre,Texas-6,27.83061408996582,27.83061408996582,2,2015-05-25,2015-05-25,2015-05-27,2015-05-27
Dallas,Dallas_201505271900_201505281030,post,Texas-5,36.809471130371094,36.809471130371094,1,2015-06-02,2015-06-02,2015-05-27,2015-05-28
Dallas,Dallas_201505290500_201505300645,post,Texas-6,32.57167434692383,34.16815312703451,3,2015-06-02,2015-06-04,2015-05-29,2015-05-30
Dallas,Dallas_201910210215_201910260645,during,Texas-20,35.47718048095703,38.583239237467446,3,2019-10-22,2019-10-24,2019-10-21,2019-10-26
Dallas,Dallas_201910210215_201910260645,post,Texas-20,35.78574752807617,35.99009132385254,2,2019-10-27,2019-10-28,2019-10-21,2019-10-26
Dallas,Dallas_201910210215_201910260645,pre,Texas-20,38.35843276977539,40.37033176422119,4,2019-10-16,2019-10-20,2019-10-21,2019-10-26
Dallas,Dallas_202008162100_202008181615,during,Texas-14,42.865570068359375,42.865570068359375,1,2020-08-18,2020-08-18,2020-08-16,2020-08-18
Dallas,Dallas_202008162100_202008181615,post,Texas-14,37.518470764160156,40.227317810058594,4,2020-08-19,2020-08-23,2020-08-16,2020-08-18
Dallas,Dallas_202008162100_202008181615,pre,Texas-14,38.25118637084961,40.90468978881836,4,2020-08-11,2020-08-14,2020-08-16,2020-08-18
Dallas,Dallas_202102181530_202102211230,during,Texas-3,47.4797248840332,67.81769307454427,15,2021-02-19,2021-02-21,2021-02-18,2021-02-21
Dallas,Dallas_202102181530_202102211230,post,Texas-8,39.05039978027344,41.12021541595459,20,2021-02-22,2021-02-25,2021-02-18,2021-02-21
