event_key,phase,county,event_id,min_ntl,mean_ntl,n_images,phase_start,phase_end,outage_start,outage_end,avg_snow_frac
Dallas_201504190045_201504200030,during,Dallas,Texas-2,4.435657501220703,4.435657501220703,1,2015-04-20,2015-04-20,2015-04-19,2015-04-20,0.0
Dallas_201504190045_201504200030,post,Dallas,Texas-2,3.2831904888153076,3.4842350482940674,2,2015-04-21,2015-04-22,2015-04-19,2015-04-20,0.0
Dallas_201504190045_201504200030,pre,Dallas,Texas-2,3.1398863792419434,3.1398863792419434,1,2015-04-17,2015-04-17,2015-04-19,2015-04-20,0.0
Dallas_201504250015_201504251530,post,Dallas,Texas-4,3.1902294158935547,3.5811516443888345,3,2015-04-26,2015-04-30,2015-04-25,2015-04-25,0.0005938794089432632
Dallas_201504250015_201504251530,pre,Dallas,Texas-4,3.2831904888153076,3.8013758659362793,3,2015-04-20,2015-04-22,2015-04-25,2015-04-25,0.0
Dallas_201505270015_201505271345,post,Dallas,Texas-5,3.233412981033325,3.4424744844436646,2,2015-05-31,2015-06-01,2015-05-27,2015-05-27,0.0002672457340244684
Dallas_201505270015_201505271345,pre,Dallas,Texas-5,2.784106492996216,2.784106492996216,1,2015-05-25,2015-05-25,2015-05-27,2015-05-27,0.0011580648474393631
Dallas_201505271900_201505281030,post,Dallas,Texas-5,3.233412981033325,3.5219653447469077,3,2015-05-31,2015-06-02,2015-05-27,2015-05-28,0.00017816382268297896
Dallas_201505271900_201505281030,pre,Dallas,Texas-5,2.784106492996216,2.784106492996216,1,2015-05-25,2015-05-25,2015-05-27,2015-05-28,0.0011580648474393631
Dallas_201505290500_201505300645,post,Dallas,Texas-6,3.233412981033325,3.4270790100097654,5,2015-05-31,2015-06-04,2015-05-29,2015-05-30,0.00010689829360978737
Dallas_201505290500_201505300645,pre,Dallas,Texas-6,2.784106492996216,2.784106492996216,1,2015-05-25,2015-05-25,2015-05-29,2015-05-30,0.0011580648474393631
Dallas_201910210215_201910260645,during,Dallas,Texas-20,3.547718048095703,3.858109951019287,3,2019-10-22,2019-10-24,2019-10-21,2019-10-26,5.938794089432632e-05
Dallas_201910210215_201910260645,post,Dallas,Texas-20,3.5785744190216064,3.5990090370178223,2,2019-10-27,2019-10-28,2019-10-21,2019-10-26,0.0
Dallas_201910210215_201910260645,pre,Dallas,Texas-20,3.835843324661255,4.037033021450043,4,2019-10-16,2019-10-20,2019-10-21,2019-10-26,0.0
Dallas_202008162100_202008181615,during,Dallas,Texas-14,4.286556243896484,4.286556243896484,1,2020-08-18,2020-08-18,2020-08-16,2020-08-18,0.0
Dallas_202008162100_202008181615,post,Dallas,Texas-14,3.751847743988037,4.022732079029083,4,2020-08-19,2020-08-23,2020-08-16,2020-08-18,0.0
Dallas_202008162100_202008181615,pre,Dallas,Texas-14,3.8251187801361084,4.090469002723694,4,2020-08-11,2020-08-14,2020-08-16,2020-08-18,0.0
Dallas_202102140915_202102181515,during,Dallas,Texas-1,7.800380229949951,7.800380229949951,1,2021-02-16,2021-02-16,2021-02-14,2021-02-18,0.795343915565718
Dallas_202102140915_202102181515,post,Dallas,Texas-1,3.8990132808685303,5.333879137039185,5,2021-02-19,2021-02-23,2021-02-14,2021-02-18,0.26160066570388274
Dallas_202102181530_202102211230,during,Dallas,Texas-1,5.035274028778076,6.221830685933431,3,2021-02-19,2021-02-21,2021-02-18,2021-02-21,0.4353775361270808
