osm_id,name,type,lat,lon
331264155,New Orleans Fire Department Engine 9,fire_station,29.9621423,-90.0577347
358400037,Community Care Hospital,hospital,29.9260131,-90.0959335
358400056,Saint Catherine Memorial Hospital,hospital,30.071367,-89.9478253
367131827,Jefferson Parish Second Parish Court - Criminal Records,government,29.9172421,-90.0668481
367132033,Orleans Parish Criminal District Court - Clerk,government,29.9616767,-90.0914425
367132036,Orleans Parish Criminal District Court - Records,government,29.9614587,-90.0915691
367132099,Bridge City Volunteer Fire Company,fire_station,29.9300812,-90.176166
367132109,Marrero - Ragusa Volunteer Fire Department,fire_station,29.88551,-90.12844
367132145,Harvey Volunteer Fire Company,fire_station,29.905419,-90.0726576
367132146,Terrytown Volunteer Fire Department,fire_station,29.911383,-90.0330128
367132208,Harvey Volunteer Fire Company,fire_station,29.8727,-90.05506
367132231,Terrytown Volunteer Fire Department,fire_station,29.8856344,-90.0318388
367132232,Terrytown Volunteer Fire Department,fire_station,29.8994903,-90.0222384
367132239,New Orleans Fire Department Communications Division,fire_station,29.9849,-90.1091212
367132281,Gould Volunteer Fire Company,fire_station,29.8969798,-90.0472766
367132306,Gould Volunteer Fire Company,fire_station,29.9285484,-90.0532403
367132313,Eastbank Consolidated Fire Department,fire_station,29.96538,-90.18949
367132373,New Orleans Fire Department Training Division,fire_station,30.018969,-89.9292304
367132406,Eastbank Consolidated Fire Department Station 16,fire_station,29.9765163,-90.1819609
367132407,Eastbank Consolidated Fire Department Station 13,fire_station,29.9765955,-90.1816602
367132408,Eastbank Consolidated Fire Department Station 14,fire_station,29.9803678,-90.1407606
367132409,Eastbank Consolidated Fire Department Station 19,fire_station,29.9498077,-90.190679
367132410,New Orleans Fire Department Engine 1,fire_station,29.9249606,-90.0842012
367132412,Eastbank Consolidated Fire Department Station 18,fire_station,30.0121772,-90.1554264
367132414,New Orleans Fire Department Haz Mat and Fire Rescue and Engine 7,fire_station,29.9626983,-90.0713692
367132416,New Orleans Fire Department Engine 4,fire_station,30.0227648,-90.023588
367132417,New Orleans Fire Department Engine 11,fire_station,29.9349083,-90.0949074
367132418,New Orleans Fire Department Engine 12,fire_station,30.0163482,-90.0516875
367132419,New Orleans Fire Department Engine 8,fire_station,29.9835375,-90.0358501
367132422,New Orleans Fire Department Squirt 16 and Ladder 8,fire_station,29.9415185,-90.0805322
367132423,New Orleans Fire Department Engine 15 and Ladder 5,fire_station,29.9252685,-90.1168014
367132424,New Orleans Fire Department Squirt 14 and Ladder 2,fire_station,29.9572296,-90.0776744
367132427,New Orleans Fire Department Engine 20,fire_station,29.9484587,-90.0516754
367132428,New Orleans Fire Department Engine 18,fire_station,30.0042732,-90.1059702
367132429,New Orleans Fire Department Engine 17,fire_station,29.9133618,-89.9934625
367132430,New Orleans Fire Department Engine 26 and Ladder 9,fire_station,29.9669384,-90.0961363
367132431,New Orleans Fire Department EngineNew Orleans Fire Department Engine 25 and Ladder 7,fire_station,29.9568343,-90.1200136
367132432,New Orleans Fire Department Engine 24 and Ladder 4,fire_station,29.9644188,-90.0318362
367132433,New Orleans Fire Department Engine 22,fire_station,29.9655494,-90.0140467
367132434,New Orleans Fire Department Engine 35,fire_station,29.9814122,-90.0926621
367132435,New Orleans Fire Department Engine 33 and Ladder 6,fire_station,29.939908,-90.0204405
367132474,Eastbank Consolidated Fire Department Station 12,fire_station,29.9630851,-90.1394384
367132517,New Orleans Fire Department Engine 40,fire_station,29.9300822,-90.0318841
367132521,New Orleans Fire Department Squirt 36 and Ladder 13,fire_station,30.0273446,-89.9685713
367132522,New Orleans Fire Department Engine 39,fire_station,29.9656762,-90.0139999
367132523,New Orleans Fire Department Engine 38,fire_station,29.9377172,-90.1078652
367132524,New Orleans Supply Division Fire Station,fire_station,29.9448158,-90.0696009
367132531,New Orleans Second District Chief Office and Flying Squad Fire Station,fire_station,29.9478138,-90.0726773
367132793,Jefferson Parish Sheriff's Office Investigations Bureau,government,29.9033277,-90.0715094
367132806,New Orleans Police Department,police,29.9437706,-90.0862579
367132845,Jefferson Parish Sheriff's Office,police,29.9068556,-90.064315
367132847,Jefferson Parish Sheriff's Office - Economic Crime Unit,government,29.9157959,-90.0678643
367132849,Gretna Police Department - Records,government,29.9175413,-90.0585211
367132874,Westwego Police Station,police,29.9087019,-90.1430805
367132909,Cresent City Connection Police Department,police,29.9336253,-90.0366164
367132916,Harahan Police Department - Records,police,29.9386848,-90.1933116
367132945,New Orleans Police Department Fifth District,police,29.9705098,-90.0346668
367132957,Jefferson Parish Sheriff's Office,police,29.8804125,-90.1129405
367132973,New Orleans Police Department - Gaming Division,police,29.9480195,-90.0656229
367132998,Gretna Police Department - Police Reports,government,29.9175883,-90.058452
367132999,Gretna Police Department - Taxi and Alcohol Permits,government,29.9176338,-90.0583779
367133026,Jefferson Parish Sheriff's Office,police,29.8895886,-90.1114508
367133031,Causeway Police Department,police,30.019143,-90.1540497
367133036,New Orleans Police Department First District,police,29.9592913,-90.069974
367133038,New Orleans Police Department Second District,police,29.9210257,-90.1006914
367133041,New Orleans Police Department - Education and Training,government,29.9834014,-90.1073211
367133055,Jefferson Parish Sheriff's Office,police,30.0109281,-90.1636644
367133059,Jefferson Parish Sheriff's Office - Police Press Office,police,29.9753186,-90.1581446
367133063,New Orleans Police Department - Public Integrity Division,government,29.9639811,-90.0843999
367133066,New Orleans Police Department - Crime Prevention,police,29.984862,-90.1097447
367133077,Jefferson Parish Criminal Justice Office,government,29.9653359,-90.18936
367133142,New Orleans Police Department Seventh District,police,30.0275188,-89.9680772
367133152,Gretna Police Department,police,29.9177916,-90.0586156
367133183,New Orleans Police Department Sixth District,police,29.9411458,-90.0796307
367133331,Harahan City Hall,townhall,29.9388159,-90.1934087
367133333,Gretna City Hall,townhall,29.9170267,-90.0658216
2667730065,Student Health Services,clinic,30.0294972,-90.0644677
3356720533,Saint Charles Surgical Hospital,hospital,29.9373014,-90.0771038
4723067391,Jean Lafitte Administration Office,government,29.954883,-90.0647537
4731140751,unnamed,government,29.960303,-90.0588257
4751320322,Harrah's Employee Health Center,clinic,29.9474163,-90.0649316
4752018125,Ventanilla de Salud,clinic,29.9421511,-90.0656189
5070462634,Expressway Urgent Care & Pharmacy,clinic,29.9112778,-90.0551664
5260770326,Maritime Security Operations Center,police,29.9210593,-90.0754919
6778072009,Outpatient Rehab Center,clinic,30.0032693,-90.1800797
6816498677,East Jefferson Family Practice,clinic,30.0037111,-90.1703928
6816498684,Ideal Weight Loss,clinic,30.0036565,-90.1704463
6904097709,LCMC Health,clinic,29.9598916,-90.1830337
7175729042,NOEH Emergency,hospital,30.0292289,-89.9756088
7814849019,Fisher's Field,aerodrome,29.9412617,-89.9247561
8064702547,Marrero - Harvey Volunteer Fire Department,fire_station,29.9012005,-90.0956722
8889255335,In & Out Urgent Care,clinic,29.9753774,-90.152561
9506602613,Concentra Urgent Care,clinic,29.9518247,-90.0724188
9778209831,Ochsner Rehabilitation Hospital,hospital,29.961469,-90.1540213
10197665989,JenCare Senior Medical Center,clinic,29.8965848,-90.1423719
