osm_id,name,type,lat,lon
4267518390,Bay Medical Sacred Heart Family Medicine,clinic,30.1599528,-85.7523588
6011539254,WSI Learning Center,clinic,30.1636564,-85.5901577
9791534461,The Hormone & Wellness Center,clinic,30.1818382,-85.666535
9941370982,Florida Department of Revenue Child Support Program,government,30.2032106,-85.6503167
10014252968,Florida Department of Health Bay County,government,30.1742919,-85.6068674
11479300135,Florida Highway Patrol Office,police,30.2360363,-85.5784862
12623516332,Magnolia Pediatric Therapy,clinic,30.1902226,-85.6659662
114492705,Bay County Government Center,government,30.169918,-85.6726269
138357990,Shipyard Substation,substation,30.1810755,-85.7261394
148904759,NSWC PCD Beach Site,government,30.1336936,-85.7445187
189475251,Greenwood Substation,substation,30.1846551,-85.6830036
189478444,Wewa Road Substation,substation,30.1545782,-85.6072918
237754820,Redwood Substation,substation,30.1590155,-85.637074
361086612,North Bay Substation,substation,30.2446195,-85.6759654
361097163,Northside Substation,substation,30.2128441,-85.6673685
361097174,Highland City Substation,substation,30.1949639,-85.6312842
361097175,Highland City Substation,substation,30.193884,-85.6318404
361097186,Callaway Substation,substation,30.1944977,-85.5630674
361319226,Holiday Substation,substation,30.1880176,-85.7877423
378982444,Hathaway Substation,substation,30.1604612,-85.7575154
379004614,unnamed,substation,30.1432853,-85.6218102
402016840,NOAA Panama City Laboratory,government,30.1470082,-85.7143351
427546834,Thomas Drive Volunteer Fire Department - Station 1,fire_station,30.1537486,-85.7491486
540893983,unnamed,substation,30.1774219,-85.759655
636912391,NSWC PCD Beach Site,government,30.1558634,-85.7740825
636920027,NSWC PCD Beach Site,government,30.1453237,-85.7596598
636926047,Thomas Drive Volunteer Fire Department Station 3,fire_station,30.156069,-85.7703932
636947650,Panama City Fire Prevention,fire_station,30.1578128,-85.6520464
636947894,Florida Probation Services,government,30.1565041,-85.6607066
637029626,Florida Department of Health in Bay County,government,30.1668158,-85.6668894
637069958,City of Callaway Law Enforcement,police,30.1512952,-85.565457
637070263,unnamed,fire_station,30.1510995,-85.5654004
637663466,Bay County Tax Collector - Motor Vehicle and Driver License Services,government,30.132674,-85.5905109
637691168,Callaway,townhall,30.153307,-85.5770371
637717231,Callaway Clinic,clinic,30.1566523,-85.5915563
637973882,Surgical Center For Excellence,clinic,30.1886517,-85.6659162
637974276,Fresenius Kidney Care Panama City,clinic,30.1863318,-85.6577343
637979249,Panama City Police Department,police,30.1756063,-85.6411739
639220471,Department of Transportation,government,30.2147736,-85.6712323
645017271,Lynn Haven City Hall,townhall,30.2459583,-85.6483545
754844014,unnamed,substation,30.1450313,-85.6153672
831326599,NOAA - NMFS,government,30.1475569,-85.7137634
1063135684,Lynn Haven Fire Department Station #2,fire_station,30.2134652,-85.6319783
1063189127,Coastal Urgent Care,clinic,30.2326061,-85.649524
1064765398,US Social Security Administration,government,30.2065884,-85.650357
1065377024,DaVita Dialysis,clinic,30.2225173,-85.6458202
1068911129,Lynn Haven Fire Department,fire_station,30.2368286,-85.6479019
1073432051,Bay County Sheriff's Office,police,30.2104872,-85.6508492
1084959165,Sickbay Clinic,clinic,30.2099387,-85.650288
1087135138,Bay County Tax Collector -Motor Vehicle and Driver License Services,government,30.2473507,-85.6500211
1093515191,Springfield Fire Station,fire_station,30.152671,-85.6102162
1096801222,Emerald Coast Urgent Care,clinic,30.1552492,-85.7519093
1099494903,Lynn Haven Public Works,government,30.2386755,-85.6434519
1105948703,HCA Florida Panama City Emergency,clinic,30.2158224,-85.6047924
1119184813,unnamed,substation,30.1436978,-85.5777193
1120702007,Military Point Substation,substation,30.1173561,-85.6230332
1136065261,unnamed,water_works,30.2490236,-85.614389
1136065262,unnamed,water_works,30.2412894,-85.6483512
1136065264,unnamed,water_works,30.1705339,-85.7900787
1136065265,unnamed,water_works,30.1588359,-85.6331309
1136065267,unnamed,water_works,30.2017812,-85.7509309
1136065268,unnamed,water_works,30.1919326,-85.7952532
1136065269,unnamed,water_works,30.1867023,-85.6904586
1136065270,unnamed,water_works,30.1825773,-85.7623391
1136065271,unnamed,water_works,30.1787838,-85.6493155
1136065272,unnamed,water_works,30.1773351,-85.6755901
1136065274,unnamed,water_works,30.1407709,-85.5998685
1136065275,unnamed,water_works,30.1013514,-85.6475645
1136084194,unnamed,hospital,30.1842092,-85.6569509
1136084209,unnamed,clinic,30.1596088,-85.7436172
1136084215,unnamed,hospital,30.2140207,-85.6086149
1136087248,unnamed,hospital,30.2156882,-85.6047095
1228739594,unnamed,fire_station,30.1576659,-85.6518518
1229086105,unnamed,fire_station,30.1588287,-85.6327094
1229095095,unnamed,fire_station,30.152605,-85.6102617
1229719345,unnamed,police,30.1758981,-85.6411961
1230404048,unnamed,fire_station,30.182115,-85.6633896
