event_key,county,pre_ntl,during_ntl,change_pct,pre_snow_frac,during_snow_frac,n_pre,n_during
Dallas_201504190045_201504200030,Dallas,3.14,4.44,41.3,0.0,0.0,1,1
Dallas_201910210215_201910260645,Dallas,4.04,3.86,-4.4,0.0,0.0,4,3
Dallas_202008162100_202008181615,Dallas,4.09,4.29,4.8,0.0,0.0,4,1
Dallas_202102181530_202102211230,Dallas,7.8,6.22,-20.2,0.795,0.435,1,3
Dallas_202209042000_202209070545,Dallas,4.71,4.04,-14.1,0.001,0.0,1,4
Dallas_202303030030_202303050145,Dallas,4.98,4.77,-4.1,0.0,0.0,1,2
Harris_201708281215_201709011700,Harris,3.28,4.59,40.1,0.005,0.0,1,1
Harris_201801152200_201801161500,Harris,3.9,3.45,-11.6,0.001,0.0,3,1
Harris_201801162215_201801171415,Harris,3.79,4.69,24.0,0.001,0.0,4,1
Harris_201801182015_201801190830,Harris,3.84,3.99,3.9,0.001,0.015,4,1
Harris_201804161315_201804170015,Harris,3.82,3.66,-4.2,0.0,0.0,3,2
Harris_201805271415_201805290930,Harris,3.93,3.63,-7.6,0.006,0.001,3,3
Harris_201805291815_201805300630,Harris,3.93,4.2,6.9,0.003,0.0,4,2
Harris_201811031330_201811041030,Harris,3.55,3.46,-2.5,0.0,0.0,3,1
Harris_202005280515_202005300515,Harris,3.69,4.6,24.7,0.002,0.0,2,1
Harris_202007121330_202007141930,Harris,3.92,4.13,5.4,0.0,0.0,3,3
Harris_202301252330_202301280415,Harris,4.33,5.01,15.6,0.0,0.002,1,3
