date,cloud_fraction,period,usable,cloud_pct,date_dt
2019-12-01,1.0,pre,False,100.0,2019-12-01
2019-12-02,0.0,pre,True,0.0,2019-12-02
2019-12-03,0.0,pre,True,0.0,2019-12-03
2019-12-04,0.05521190682125189,pre,True,5.5,2019-12-04
2019-12-05,0.014081769502133155,pre,True,1.4,2019-12-05
2019-12-06,0.09664816956433003,pre,True,9.7,2019-12-06
2019-12-07,0.0,pre,True,0.0,2019-12-07
2019-12-08,0.013284871573095944,pre,True,1.3,2019-12-08
2019-12-09,0.6088494543192837,pre,False,60.9,2019-12-09
2019-12-10,0.02819512337340498,pre,True,2.8,2019-12-10
2019-12-11,0.10674059028756347,pre,True,10.7,2019-12-11
2019-12-12,0.2716668772291275,pre,True,27.2,2019-12-12
2019-12-13,0.07063965636206375,pre,True,7.1,2019-12-13
2019-12-14,0.044679734496933875,pre,True,4.5,2019-12-14
2019-12-15,0.5857880057143411,pre,False,58.6,2019-12-15
2019-12-16,0.013010330518275198,pre,True,1.3,2019-12-16
2019-12-17,0.026956044276426387,pre,True,2.7,2019-12-17
2019-12-18,0.02568781037716595,pre,True,2.6,2019-12-18
2019-12-19,0.006771202829959472,pre,True,0.7,2019-12-19
2019-12-20,0.0,pre,True,0.0,2019-12-20
2019-12-21,0.07991574262140541,pre,True,8.0,2019-12-21
2019-12-22,0.18122868055083133,pre,True,18.1,2019-12-22
2019-12-23,0.01781358419420985,pre,True,1.8,2019-12-23
2019-12-24,0.0573426369546837,pre,True,5.7,2019-12-24
2019-12-25,0.5537906102100116,pre,False,55.4,2019-12-25
2019-12-26,1.0,pre,False,100.0,2019-12-26
2020-01-08,0.008330984752038403,post,True,0.8,2020-01-08
2020-01-09,0.0684336096560705,post,True,6.8,2020-01-09
2020-01-10,0.14578615924353,post,True,14.6,2020-01-10
2020-01-11,0.12130341402734714,post,True,12.1,2020-01-11
2020-01-12,0.514271275716965,post,False,51.4,2020-01-12
2020-01-13,0.20904722106142906,post,True,20.9,2020-01-13
2020-01-14,0.1091045588392501,post,True,10.9,2020-01-14
2020-01-15,0.47870727606682273,post,False,47.9,2020-01-15
2020-01-16,0.05405300343054838,post,True,5.4,2020-01-16
2020-01-17,0.07214598781329262,post,True,7.2,2020-01-17
2020-01-18,0.1302709452958726,post,True,13.0,2020-01-18
2020-01-19,0.13395902778452654,post,True,13.4,2020-01-19
2020-01-20,0.5669151303705574,post,False,56.7,2020-01-20
2020-01-21,0.20345192859017094,post,True,20.3,2020-01-21
2020-01-22,0.0018440412443269608,post,True,0.2,2020-01-22
2020-01-23,0.3242864362141516,post,False,32.4,2020-01-23
2020-01-24,0.6185822991477078,post,False,61.9,2020-01-24
2020-01-25,0.9962827627090642,post,False,99.6,2020-01-25
2020-01-26,1.0,post,False,100.0,2020-01-26
2020-01-27,0.07476506088494539,post,True,7.5,2020-01-27
2020-01-28,0.0018586186454678853,post,True,0.2,2020-01-28
2020-01-29,1.0,post,False,100.0,2020-01-29
2020-01-30,0.2784210730910892,post,True,27.8,2020-01-30
2020-01-31,0.025556613766897628,post,True,2.6,2020-01-31
2020-02-01,0.03522871942390109,post,True,3.5,2020-02-01
2020-02-02,0.0037172372909357707,post,True,0.4,2020-02-02
2020-02-03,0.0015500636546516482,post,True,0.2,2020-02-03
2020-02-04,0.07340207387826894,post,True,7.3,2020-02-04
2020-02-05,0.05499081623728119,post,True,5.5,2020-02-05
2020-02-06,0.18349789599510188,post,True,18.3,2020-02-06
2020-02-07,0.0,post,True,0.0,2020-02-07
2020-02-08,0.030755886840494063,post,True,3.1,2020-02-08
2020-02-09,0.05483046482473103,post,True,5.5,2020-02-09
2020-02-10,0.05473085258360136,post,True,5.5,2020-02-10
2020-02-11,0.1168888910485038,post,True,11.7,2020-02-11
2020-02-12,0.33099932943954746,post,False,33.1,2020-02-12
2020-02-13,0.02122226649432938,post,True,2.1,2020-02-13
2020-02-14,0.04535515408313003,post,True,4.5,2020-02-14
