date,cloud_fraction,period,usable,cloud_pct,date_dt
2017-08-01,0.1795297878310944,pre,True,18.0,2017-08-01
2017-08-02,0.043439112770396374,pre,True,4.3,2017-08-02
2017-08-03,0.6944157729707299,pre,False,69.4,2017-08-03
2017-08-04,1.0,pre,False,100.0,2017-08-04
2017-08-05,0.6386442663152885,pre,False,63.9,2017-08-05
2017-08-06,0.036572599831631324,pre,True,3.7,2017-08-06
2017-08-07,0.46138379512706906,pre,False,46.1,2017-08-07
2017-08-08,1.0,pre,False,100.0,2017-08-08
2017-08-09,0.02062394007051961,pre,True,2.1,2017-08-09
2017-08-10,0.10033307712016393,pre,True,10.0,2017-08-10
2017-08-11,0.09595549211229451,pre,True,9.6,2017-08-11
2017-08-12,0.0,pre,True,0.0,2017-08-12
2017-08-13,0.009955711723582587,pre,True,1.0,2017-08-13
2017-08-14,0.11184802898868994,pre,True,11.2,2017-08-14
2017-08-15,1.0,pre,False,100.0,2017-08-15
2017-08-16,0.11915132437807296,pre,True,11.9,2017-08-16
2017-08-17,1.0,pre,False,100.0,2017-08-17
2017-08-18,0.11905127923575265,pre,True,11.9,2017-08-18
2017-08-19,0.9189487939680098,pre,False,91.9,2017-08-19
2017-08-20,0.12273830874906964,pre,True,12.3,2017-08-20
2017-08-21,0.24773807325629982,pre,True,24.8,2017-08-21
2017-08-22,0.1081011477273831,pre,True,10.8,2017-08-22
2017-08-23,0.03474523561939376,pre,True,3.5,2017-08-23
2017-08-24,0.0747893565535136,pre,True,7.5,2017-08-24
2017-08-25,0.2605224540568907,pre,True,26.1,2017-08-25
2017-08-26,0.056319789307962165,pre,True,5.6,2017-08-26
2017-08-27,0.3730940048008241,pre,False,37.3,2017-08-27
2017-08-28,0.10322743661260066,pre,True,10.3,2017-08-28
2017-08-29,0.7391082517808721,pre,False,73.9,2017-08-29
2017-08-30,0.002014110924304414,pre,True,0.2,2017-08-30
2017-08-31,0.0018586186454678853,pre,True,0.2,2017-08-31
2017-09-01,0.012332481365222204,pre,True,1.2,2017-09-01
2017-09-02,0.15630861330042076,pre,True,15.6,2017-09-02
2017-09-03,0.4692489722932196,pre,False,46.9,2017-09-03
2017-09-04,0.4069208641483395,pre,False,40.7,2017-09-04
2017-09-05,0.08222383113538512,pre,True,8.2,2017-09-05
2017-09-06,0.7806562745993643,pre,False,78.1,2017-09-06
2017-09-07,1.0,pre,False,100.0,2017-09-07
2017-09-08,1.0,pre,False,100.0,2017-09-08
2017-09-09,0.8502317806781404,pre,False,85.0,2017-09-09
2017-09-10,1.0,pre,False,100.0,2017-09-10
2017-09-11,0.14932117902020423,pre,True,14.9,2017-09-11
2017-09-12,0.031905071963770286,pre,True,3.2,2017-09-12
2017-09-13,1.0,pre,False,100.0,2017-09-13
2017-09-14,1.0,pre,False,100.0,2017-09-14
2017-09-15,1.0,pre,False,100.0,2017-09-15
2017-09-16,1.0,pre,False,100.0,2017-09-16
2017-09-17,0.5446894527643612,pre,False,54.5,2017-09-17
2017-09-18,0.043204987414843674,pre,True,4.3,2017-09-18
2017-09-20,1.0,post,False,100.0,2017-09-20
2017-09-21,1.0,post,False,100.0,2017-09-21
2017-09-22,1.0,post,False,100.0,2017-09-22
2017-09-23,1.0,post,False,100.0,2017-09-23
2017-09-24,1.0,post,False,100.0,2017-09-24
2017-09-25,0.8629967249438768,post,False,86.3,2017-09-25
2017-09-26,0.9893099058299887,post,False,98.9,2017-09-26
2017-09-27,0.10176483736479457,post,True,10.2,2017-09-27
2017-09-28,0.007657994732699052,post,True,0.8,2017-09-28
2017-09-30,1.0,post,False,100.0,2017-09-30
2017-10-01,1.0,post,False,100.0,2017-10-01
2017-10-02,1.0,post,False,100.0,2017-10-02
2017-10-03,0.0309356747878988,post,True,3.1,2017-10-03
2017-10-04,0.028148961603125387,post,True,2.8,2017-10-04
2017-10-05,0.0012390790969785902,post,True,0.1,2017-10-05
2017-10-06,0.08134918706692969,post,True,8.1,2017-10-06
2017-10-07,1.0,post,False,100.0,2017-10-07
2017-10-08,0.08399498537400743,post,True,8.4,2017-10-08
2017-10-09,0.30412346086939634,post,False,30.4,2017-10-09
2017-10-10,1.0,post,False,100.0,2017-10-10
2017-10-11,1.0,post,False,100.0,2017-10-11
2017-10-12,1.0,post,False,100.0,2017-10-12
2017-10-13,0.17557750804186623,post,True,17.6,2017-10-13
2017-10-14,0.2223612474368069,post,True,22.2,2017-10-14
2017-10-15,0.09299410101167158,post,True,9.3,2017-10-15
2017-10-16,1.0,post,False,100.0,2017-10-16
2017-10-17,1.0,post,False,100.0,2017-10-17
2017-10-18,0.9975194122391862,post,False,99.8,2017-10-18
2017-10-19,0.03595273034723368,post,True,3.6,2017-10-19
2017-10-20,0.001394571375815119,post,True,0.1,2017-10-20
2017-10-21,0.04445621434610635,post,True,4.4,2017-10-21
2017-10-22,0.0018586186454678853,post,True,0.2,2017-10-22
2017-10-23,0.12407554981097964,post,True,12.4,2017-10-23
2017-10-24,0.005561278535262731,post,True,0.6,2017-10-24
2017-10-25,0.10555010252772129,post,True,10.6,2017-10-25
2017-10-26,0.004941738986773437,post,True,0.5,2017-10-26
2017-10-27,0.21625088679190274,post,True,21.6,2017-10-27
2017-10-28,0.9981851135579548,post,False,99.8,2017-10-28
2017-10-29,1.0,post,False,100.0,2017-10-29
2017-10-30,0.07003712378157217,post,True,7.0,2017-10-30
2017-10-31,0.07534572736372558,post,True,7.5,2017-10-31
2017-11-01,0.14101691950359088,post,True,14.1,2017-11-01
2017-11-02,0.055683242791475095,post,True,5.6,2017-11-02
2017-11-03,0.03520685332218971,post,True,3.5,2017-11-03
2017-11-04,0.29045714729977934,post,True,29.0,2017-11-04
2017-11-05,0.16805070991943546,post,True,16.8,2017-11-05
2017-11-06,0.02116638645662251,post,True,2.1,2017-11-06
2017-11-07,1.0,post,False,100.0,2017-11-07
2017-11-08,0.7515136201517989,post,False,75.2,2017-11-08
2017-11-09,1.0,post,False,100.0,2017-11-09
2017-11-10,1.0,post,False,100.0,2017-11-10
2017-11-11,0.19045860503989342,post,True,19.0,2017-11-11
2017-11-12,1.0,post,False,100.0,2017-11-12
2017-11-13,0.656993751154044,post,False,65.7,2017-11-13
2017-11-14,0.02911835877899687,post,True,2.9,2017-11-14
2017-11-15,0.41413424814624045,post,False,41.4,2017-11-15
2017-11-16,1.0,post,False,100.0,2017-11-16
2017-11-17,0.9925655254181285,post,False,99.3,2017-11-17
2017-11-18,1.0,post,False,100.0,2017-11-18
2017-11-19,0.8845372646964498,post,False,88.5,2017-11-19
2017-11-20,1.0,post,False,100.0,2017-11-20
2017-11-21,0.0024781581939571804,post,True,0.2,2017-11-21
2017-11-22,0.0058868404940767135,post,True,0.6,2017-11-22
2017-11-23,0.20102965043392057,post,True,20.1,2017-11-23
2017-11-24,0.06562988950329933,post,True,6.6,2017-11-24
2017-11-25,0.008054014130360837,post,True,0.8,2017-11-25
2017-11-26,0.10955645827461875,post,True,11.0,2017-11-26
2017-11-27,0.003083120341305551,post,True,0.3,2017-11-27
2017-11-28,0.006814935033382246,post,True,0.7,2017-11-28
2017-11-29,0.35658752757558393,post,False,35.7,2017-11-29
